number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.18150707903411528,2026-08-14 16:03:55.961029,2026-08-14 16:03:58.426644,0 days 00:00:02.465615,0.6921282988697811,0.01144679561815338,5,9,200,6.417021109266756,0.2631389814545742,0.9229349713696178,COMPLETE
1,0.14028032519500808,2026-08-14 16:03:58.450568,2026-08-14 16:04:00.770724,0 days 00:00:02.320156,0.8274796015364417,0.04262408478158509,5,2,200,5.496044396848885,0.019778382244182182,0.9815190271550652,COMPLETE
2,0.12401632149161153,2026-08-14 16:04:00.791201,2026-08-14 16:04:02.557696,0 days 00:00:01.766495,0.9387678502070463,0.2575918548750025,2,3,200,0.0018297330543111283,1.9529756048917086,0.6468658091538402,COMPLETE
3,0.12952412625530182,2026-08-14 16:04:02.575550,2026-08-14 16:04:06.960553,0 days 00:00:04.385003,0.6967680131608824,0.0170823663573283,1,10,900,0.004285878079092586,2.3578220540523875,0.6542518628881162,COMPLETE
4,0.12278837553196469,2026-08-14 16:04:06.975852,2026-08-14 16:04:10.732604,0 days 00:00:03.756752,0.6063491320482967,0.14789668018508664,5,8,400,0.04971703102890364,0.06837644217596697,0.8343322808900002,COMPLETE
5,0.13378287215117304,2026-08-14 16:04:10.751018,2026-08-14 16:04:15.364637,0 days 00:00:04.613619,0.7086037917508358,0.012738266348518927,1,1,1000,0.07459308562111398,0.0031936317774216797,0.6641679519090519,COMPLETE
6,0.1259664310689518,2026-08-14 16:04:15.378298,2026-08-14 16:04:21.201657,0 days 00:00:05.823359,0.8123255581884927,0.17534735638789362,3,1,900,0.0017102620556156346,0.036429236202542736,0.7676957098747833,COMPLETE
7,0.11981379969720318,2026-08-14 16:04:21.216368,2026-08-14 16:04:26.407526,0 days 00:00:05.191158,0.7928387000758688,0.012163837864331417,5,2,500,0.006194989996597344,0.0161846912366943,0.6880898773193953,COMPLETE
8,0.11990797211729369,2026-08-14 16:04:26.426339,2026-08-14 16:04:33.783211,0 days 00:00:07.356872,0.8960564596253457,0.05240370440515445,4,9,900,0.009376852075237918,0.023520627380975302,0.8842793322723976,COMPLETE
9,0.12216055533182738,2026-08-14 16:04:33.798648,2026-08-14 16:04:35.836850,0 days 00:00:02.038202,0.6946321836761813,0.14648237492294736,1,8,300,0.048493578488712025,0.045369772185401024,0.9316675973519545,COMPLETE
10,0.11966528163871774,2026-08-14 16:04:35.854533,2026-08-14 16:04:40.304512,0 days 00:00:04.449979,0.9928495859949935,0.03677669382871679,3,5,600,0.8598669406892996,0.0011416472928163074,0.749811807054779,COMPLETE
11,0.11861755757814522,2026-08-14 16:04:40.323805,2026-08-14 16:04:46.193384,0 days 00:00:05.869579,0.9934858434228088,0.029248365419231988,3,5,600,0.7249515642435821,0.0013165972009233759,0.7461387153688768,COMPLETE
12,0.11956795082639629,2026-08-14 16:04:46.211119,2026-08-14 16:04:50.583078,0 days 00:00:04.371959,0.9818164065991632,0.03363329202114625,3,5,600,0.8377389771832343,0.0018942625357205088,0.7616534469365709,COMPLETE
13,0.11802232065370544,2026-08-14 16:04:50.597220,2026-08-14 16:04:55.678633,0 days 00:00:05.081413,0.9964581754211324,0.024837844442342088,3,5,700,0.3903227239973053,0.0036735671295168616,0.7658752834987849,COMPLETE
14,0.11913111904760947,2026-08-14 16:04:55.695384,2026-08-14 16:04:59.928382,0 days 00:00:04.232998,0.9122610022487364,0.023010382408321838,2,5,700,0.6012938170252183,0.00597603838953221,0.8049049378087638,COMPLETE
15,0.12120844399091402,2026-08-14 16:04:59.942812,2026-08-14 16:05:05.902029,0 days 00:00:05.959217,0.9499758919007698,0.07713347712465916,4,6,700,0.1278405678296107,0.005968394120605943,0.7094037035258864,COMPLETE
16,0.11751339568206891,2026-08-14 16:05:05.916420,2026-08-14 16:05:10.182330,0 days 00:00:04.265910,0.8759240136151429,0.023447995250658497,2,6,700,0.29423217227207776,0.006663072993504751,0.6009374238310793,COMPLETE
17,0.11624353765593838,2026-08-14 16:05:10.201430,2026-08-14 16:05:14.466230,0 days 00:00:04.264800,0.8670104025457028,0.07200750634526973,2,7,700,0.21157830746405037,0.22105250783643973,0.604377232192195,COMPLETE
18,0.11670044929910321,2026-08-14 16:05:14.483098,2026-08-14 16:05:19.140766,0 days 00:00:04.657668,0.870615059278752,0.07956327971810212,2,7,800,0.16418877236237892,0.40764047304502093,0.6110096490861772,COMPLETE
19,0.11879897616717276,2026-08-14 16:05:19.155012,2026-08-14 16:05:23.722671,0 days 00:00:04.567659,0.8581374334601058,0.08440379470096943,2,7,800,0.023489262803625916,0.4117048741221492,0.6059324811255682,COMPLETE
20,0.12060316153197388,2026-08-14 16:05:23.736991,2026-08-14 16:05:29.496745,0 days 00:00:05.759754,0.7611818630531058,0.07909516756287797,2,7,1000,1.8346974115427854,6.278883223368118,0.6278688251928884,COMPLETE
21,0.11632030350552269,2026-08-14 16:05:29.510728,2026-08-14 16:05:34.215913,0 days 00:00:04.705185,0.8757916254300426,0.061822927961553344,2,7,800,0.24178810755017502,0.21162126377130352,0.6037532662031971,COMPLETE
22,0.11590407456731402,2026-08-14 16:05:34.230434,2026-08-14 16:05:38.922897,0 days 00:00:04.692463,0.847637141290045,0.0591716702109654,2,7,800,0.17002138448696083,0.21163227622891895,0.6965340897806888,COMPLETE
23,0.12048344925356728,2026-08-14 16:05:38.942959,2026-08-14 16:05:42.912737,0 days 00:00:03.969778,0.8425557704492802,0.057977695930724125,1,8,800,0.15241936484486002,0.14784176946187996,0.703540351817273,COMPLETE
24,0.11821411963939484,2026-08-14 16:05:42.926095,2026-08-14 16:05:45.985624,0 days 00:00:03.059529,0.7777184379347883,0.10535015527829508,2,6,500,0.02484210612588838,0.8851073594743194,0.6777138510067169,COMPLETE
25,0.1250209440655472,2026-08-14 16:05:46.001247,2026-08-14 16:05:50.720257,0 days 00:00:04.719010,0.9200128885356951,0.05550295729610136,2,9,800,2.761293174474075,0.11630630367870569,0.6376791186542311,COMPLETE
26,0.11960566523820118,2026-08-14 16:05:50.734229,2026-08-14 16:05:55.019171,0 days 00:00:04.284942,0.7591513802350744,0.11044941466393654,1,4,900,0.3000398689266896,0.9693487727075897,0.718836373871369,COMPLETE
27,0.12261585879451924,2026-08-14 16:05:55.033622,2026-08-14 16:05:59.492826,0 days 00:00:04.459204,0.8931139101705893,0.04586898619053657,4,7,500,1.574190018921436,0.16939034539703193,0.6362587756363401,COMPLETE
28,0.11860733698121213,2026-08-14 16:05:59.510803,2026-08-14 16:06:06.365858,0 days 00:00:06.855055,0.8087375916864002,0.06291898264325238,3,10,1000,0.024542289919880805,0.7129913095451342,0.6771887906429479,COMPLETE
29,0.12299940603334229,2026-08-14 16:06:06.380522,2026-08-14 16:06:07.487776,0 days 00:00:01.107254,0.8461159848288928,0.10971331859869692,2,9,100,0.0836093209586248,0.28626643628409254,0.8060464323254146,COMPLETE
30,0.1582877607453434,2026-08-14 16:06:07.505643,2026-08-14 16:06:10.538933,0 days 00:00:03.033290,0.7353990433916191,0.06488766268427554,1,8,600,9.451234090195767,0.08728844406291772,0.7257135925919744,COMPLETE
31,0.11872052239665205,2026-08-14 16:06:10.553373,2026-08-14 16:06:15.225386,0 days 00:00:04.672013,0.861688338603716,0.09374248055910245,2,7,800,0.1835066513504257,0.4614642945269985,0.6005445424211348,COMPLETE
32,0.11548791051412093,2026-08-14 16:06:15.240325,2026-08-14 16:06:19.994894,0 days 00:00:04.754569,0.8864515132635833,0.04232626099583281,2,6,800,0.20973506651080934,0.2608104433201715,0.6241423913438786,COMPLETE
33,0.11664310803224218,2026-08-14 16:06:20.012408,2026-08-14 16:06:24.348975,0 days 00:00:04.336567,0.9452853499749871,0.042803862652337286,2,6,700,0.3915391809273458,0.2710126991588996,0.6341169440580426,COMPLETE
34,0.11608449534222895,2026-08-14 16:06:24.363525,2026-08-14 16:06:29.450737,0 days 00:00:05.087212,0.8262757444258436,0.03731743019084112,2,4,900,0.08948538534517365,1.7585061419638788,0.6596383027420616,COMPLETE
